145608|IHDN304|International Law of Water and Environment|International Law of Water and Environment
145609|PHYN212|Electromagnetic for Computer Engineering|Electromagnetic for Computer Engineering
145612|WEEN381|Industrial Training-2|Industrial Training-2
145614|HEMN381|Industrial Training-2|Industrial Training-2
145616|MEEN381|Industrial Training-2|Industrial Training-2
145617|AEMS280|Engineering Seminar|Engineering Seminar
145643|AEMS281|Industrial Training-1|Industrial Training-1
145644|AEMS482|Graduation Project-2|Graduation Project-2
145666|AERS121|Fundamentals of Flight|Fundamentals of Flight
145704|AERS214|System Dynamics and modeling|System Dynamics and modeling
145754|AERS221|Gas Dynamics|Gas Dynamics
145802|AERS222|Strength of Materials|Strength of Materials
145856|AERS228|Aviation Economics|Aviation Economics
145896|AERS315|Aircraft Systems|Aircraft Systems
145922|AERS317|Maintenance systems Management and Reliability|Maintenance systems Management and Reliability
145964|AERS321|Aircraft Performance and Stability|Aircraft Performance and Stability
146004|AERS322|Mechanics of Structures 2|Mechanics of Structures 2
146044|AERS323|Aircraft Engine Performance|Aircraft Engine Performance
146068|AERS325|Aircraft Engine Construction|Aircraft Engine Construction
146088|AERS327|Human Resource Management|Human Resource Management
146116|AERS412|Aircraft Structures|Aircraft Structures
146120|AERS414|Introduction to Microcontroller|Introduction to Microcontroller
146122|AERS417|Project Planing, Queueing Systems and Simulation|Project Planing, Queueing Systems and Simulation
146142|AERS420|Aviation Laws, Legislations and Airworthiness|Aviation Laws, Legislations and Airworthiness
146162|AERS422|Introduction to Composite materials|Introduction to Composite materials
146164|AERS424|Flight Mechanics, Stability and Control|Flight Mechanics, Stability and Control
146190|AERS427|Strategic Planning and Management|Strategic Planning and Management
146208|AERS455|Aircraft Engine maintenance systems|Aircraft Engine maintenance systems
146232|AETS281|Industrial Training-1|Industrial Training-1
146235|AETS381|Industrial Training-2|Industrial Training-2
146236|AETS481|Graduation Project-1|Graduation Project-1
146292|AETS482|Graduation Project-2|Graduation Project-2
146430|ARCS105|Introduction to Building Construction and Environmental Design|Introduction to Building Construction and Environmental Design
146492|ARCS106|Digital Representation for Architects|Digital Representation for Architects
146552|ARCS107|Architectural Design-1|Architectural Design-1
146612|ARCS110|Basic Architectural Design and Building Construction|Basic Architectural Design and Building Construction
146644|ARCS201|History of Structures|History of Structures
146682|ARCS202|Building Construction-1|Building Construction-1
146736|ARCS203|Architecture and Humanities|Architecture and Humanities
146796|ARCS207|Architectural Design-3|Architectural Design-3
146850|ARCS208|Site Planning and Development|Site Planning and Development
